panel_id,asset_id,layer,layer_label,segment_id,point_index,panel_x,panel_y,source_x,source_y,closed_layer,connected_layer
A10_P03,A10,green,Green centreline,3,4,126.5642,125.9785,511.5642,480.9785,False,True
A10_P03,A10,green,Green centreline,3,5,122.6562,125.7614,507.6562,480.7614,False,True
A10_P03,A10,green,Green centreline,3,6,118.0969,123.8074,503.0969,478.80740000000003,False,True
A10_P03,A10,green,Green centreline,3,7,115.7087,120.5508,500.7087,475.5508,False,True
A10_P03,A10,green,Green centreline,3,8,112.6692,116.6429,497.6692,471.6429,False,True
A10_P03,A10,green,Green centreline,3,9,110.4982,112.5178,495.4982,467.51779999999997,False,True
A10_P03,A10,green,Green centreline,3,10,108.5442,108.827,493.5442,463.827,False,True
A10_P03,A10,green,Green centreline,3,11,106.5902,104.4848,491.5902,459.4848,False,True
A10_P03,A10,green,Green centreline,3,12,107.6757,100.5769,492.6757,455.5769,False,True
A10_P03,A10,green,Green centreline,3,13,108.5442,97.7545,493.5442,452.7545,False,True
A10_P03,A10,green,Green centreline,4,0,112.6692,93.4123,497.6692,448.4123,False,True
A10_P03,A10,green,Green centreline,4,1,113.5377,92.3267,498.5377,447.3267,False,True
A10_P03,A10,green,Green centreline,4,2,113.9719,91.2412,498.9719,446.2412,False,True
A10_P03,A10,green,Green centreline,5,0,117.0114,86.0306,502.0114,441.0306,False,True
A10_P03,A10,green,Green centreline,5,1,116.3601,82.774,501.3601,437.774,False,True
A10_P03,A10,green,Green centreline,5,2,114.8403,79.7345,499.8403,434.7345,False,True
A10_P03,A10,green,Green centreline,5,3,112.8863,77.1292,497.8863,432.12919999999997,False,True
A10_P03,A10,green,Green centreline,5,4,110.9324,73.6554,495.93240000000003,428.6554,False,True
A10_P03,A10,green,Green centreline,5,5,110.0639,70.6159,495.0639,425.6159,False,True
A10_P03,A10,green,Green centreline,5,6,111.3666,67.7935,496.3666,422.7935,False,True
A10_P03,A10,green,Green centreline,6,0,115.9259,59.7605,500.9259,414.7605,False,True
A10_P03,A10,green,Green centreline,6,1,115.0574,61.0632,500.05740000000003,416.0632,False,True
A10_P03,A10,green,Green centreline,6,2,113.9719,63.2343,498.9719,418.2343,False,True
A10_P03,A10,green,Green centreline,7,0,119.8338,53.6815,504.8338,408.6815,False,True
A10_P03,A10,green,Green centreline,7,1,120.9193,50.2078,505.9193,405.2078,False,True
A10_P03,A10,green,Green centreline,7,2,119.8338,46.734,504.8338,401.734,False,True
A10_P03,A10,green,Green centreline,7,3,117.8798,44.7801,502.8798,399.7801,False,True
A10_P03,A10,green,Green centreline,7,4,115.2745,41.9577,500.2745,396.9577,False,True
A10_P03,A10,green,Green centreline,7,5,112.6692,39.7866,497.6692,394.7866,False,True
A10_P03,A10,green,Green centreline,7,6,109.6297,37.3984,494.6297,392.3984,False,True
A10_P03,A10,green,Green centreline,7,7,106.8073,35.6615,491.8073,390.6615,False,True
A10_P03,A10,green,Green centreline,7,8,104.202,33.2733,489.202,388.2733,False,True
A10_P03,A10,green,Green centreline,7,9,101.5967,32.1878,486.5967,387.1878,False,True
A10_P03,A10,green,Green centreline,7,10,99.2085,30.4509,484.2085,385.4509,False,True
A10_P03,A10,green,Green centreline,7,11,96.8203,28.497,481.8203,383.497,False,True
A10_P03,A10,green,Green centreline,8,0,95.7348,22.2008,480.7348,377.2008,False,True
A10_P03,A10,green,Green centreline,8,1,98.7743,20.8982,483.7743,375.8982,False,True
A10_P03,A10,green,Green centreline,8,2,102.248,20.464,487.248,375.464,False,True
A10_P03,A10,green,Green centreline,8,3,107.0244,19.8126,492.0244,374.8126,False,True
A10_P03,A10,green,Green centreline,8,4,111.1495,20.0297,496.1495,375.0297,False,True
A10_P03,A10,green,Green centreline,8,5,115.4916,20.2469,500.4916,375.2469,False,True
A10_P03,A10,green,Green centreline,8,6,120.4851,21.5495,505.4851,376.5495,False,True
A10_P03,A10,green,Green centreline,8,7,123.3075,22.4179,508.3075,377.4179,False,True
A10_P03,A10,green,Green centreline,9,0,131.3405,27.8456,516.3405,382.8456,False,True
A10_P03,A10,green,Green centreline,9,1,133.5116,29.1483,518.5116,384.1483,False,True
A10_P03,A10,green,Green centreline,9,2,135.2485,30.668,520.2485,385.668,False,True
A10_P03,A10,green,Green centreline,10,0,138.0709,34.1418,523.0708999999999,389.1418,False,True
A10_P03,A10,green,Green centreline,10,1,139.3735,37.1813,524.3735,392.1813,False,True
A10_P03,A10,green,Green centreline,10,2,140.6762,41.0892,525.6762,396.0892,False,True
A10_P03,A10,green,Green centreline,10,3,141.9788,45.6485,526.9788,400.6485,False,True
A10_P03,A10,green,Green centreline,10,4,142.413,50.642,527.413,405.642,False,True
A10_P03,A10,green,Green centreline,10,5,143.2815,55.2013,528.2815,410.2013,False,True
A10_P03,A10,green,Green centreline,10,6,143.7157,60.1947,528.7157,415.1947,False,True
A10_P03,A10,green,Green centreline,10,7,143.7157,66.2738,528.7157,421.2738,False,True
A10_P03,A10,green,Green centreline,10,8,143.9328,70.3988,528.9328,425.3988,False,True
A10_P03,A10,green,Green centreline,10,9,143.7157,75.8265,528.7157,430.8265,False,True
A10_P03,A10,green,Green centreline,10,10,144.1499,79.0832,529.1499,434.08320000000003,False,True
A10_P03,A10,blue,Blue centreline,0,0,52.3132,77.1292,437.3132,432.12919999999997,False,True
A10_P03,A10,blue,Blue centreline,0,1,52.5303,73.0041,437.5303,428.0041,False,True
A10_P03,A10,blue,Blue centreline,0,2,53.3987,67.5764,438.3987,422.57640000000004,False,True
A10_P03,A10,blue,Blue centreline,0,3,54.7014,60.1947,439.7014,415.1947,False,True
A10_P03,A10,blue,Blue centreline,0,4,57.0896,52.596,442.0896,407.596,False,True
A10_P03,A10,blue,Blue centreline,0,5,60.9975,47.6025,445.9975,402.6025,False,True
A10_P03,A10,blue,Blue centreline,0,6,64.6883,40.8721,449.6883,395.8721,False,True
A10_P03,A10,blue,Blue centreline,0,7,70.116,35.4444,455.116,390.4444,False,True
A10_P03,A10,blue,Blue centreline,0,8,75.7609,30.668,460.7609,385.668,False,True
A10_P03,A10,blue,Blue centreline,0,9,82.4912,28.497,467.4912,383.497,False,True
A10_P03,A10,blue,Blue centreline,0,10,90.7413,26.543,475.7413,381.543,False,True
A10_P03,A10,blue,Blue centreline,0,11,98.123,25.8917,483.123,380.8917,False,True
A10_P03,A10,blue,Blue centreline,0,12,105.5047,26.1088,490.5047,381.1088,False,True
A10_P03,A10,blue,Blue centreline,0,13,113.3206,27.1943,498.3206,382.1943,False,True
A10_P03,A10,blue,Blue centreline,0,14,119.8338,28.7141,504.8338,383.7141,False,True
A10_P03,A10,blue,Blue centreline,0,15,126.1299,30.2338,511.1299,385.2338,False,True
A10_P03,A10,blue,Blue centreline,0,16,129.1695,33.2733,514.1695,388.2733,False,True
A10_P03,A10,blue,Blue centreline,0,17,127.8668,36.53,512.8668,391.53,False,True
A10_P03,A10,blue,Blue centreline,0,18,125.4786,39.1353,510.47860000000003,394.13530000000003,False,True
A10_P03,A10,blue,Blue centreline,0,19,122.6562,41.3063,507.6562,396.3063,False,True
A10_P03,A10,blue,Blue centreline,0,20,120.4851,43.2603,505.4851,398.26030000000003,False,True
A10_P03,A10,blue,Blue centreline,1,0,114.189,49.1222,499.18899999999996,404.1222,False,True
