crop_id,crop_file_sha256,crop_pixel_sha256,landmark_id,pass_number,operator,segment_id,sequence_index,x_px,y_px,local_stroke_width_px,source_feature,operator_note,timestamp_utc
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S02,2,1185.01004569,587.001247064,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run near the curve betwween upper interior crossing and UCLL nodes; stopped near exterior spiral occlusion,2026-08-03T07:27:09Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S02,3,1187.57548716,589.841557266,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run near the curve betwween upper interior crossing and UCLL nodes; stopped near exterior spiral occlusion,2026-08-03T07:27:09Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S02,4,1194.35558248,602.760387537,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run near the curve betwween upper interior crossing and UCLL nodes; stopped near exterior spiral occlusion,2026-08-03T07:27:09Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S02,5,1196.27966359,605.783943558,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run near the curve betwween upper interior crossing and UCLL nodes; stopped near exterior spiral occlusion,2026-08-03T07:27:09Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S02,6,1197.83725305,607.708024663,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run near the curve betwween upper interior crossing and UCLL nodes; stopped near exterior spiral occlusion,2026-08-03T07:27:09Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S03,0,1210.58658094,631.763554167,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run near exterior spiral; stopped near interior spiral occlusion,2026-08-03T07:29:04Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S03,1,1212.89024267,635.95203004,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run near exterior spiral; stopped near interior spiral occlusion,2026-08-03T07:29:04Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S03,2,1215.1939044,638.779251255,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run near exterior spiral; stopped near interior spiral occlusion,2026-08-03T07:29:04Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S03,3,1219.80122786,645.690236446,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run near exterior spiral; stopped near interior spiral occlusion,2026-08-03T07:29:04Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S03,4,1222.41902528,648.936305247,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run near exterior spiral; stopped near interior spiral occlusion,2026-08-03T07:29:04Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S03,5,1224.61797511,652.705933533,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run near exterior spiral; stopped near interior spiral occlusion,2026-08-03T07:29:04Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S03,6,1229.53943427,662.130004248,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run near exterior spiral; stopped near interior spiral occlusion,2026-08-03T07:29:04Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S03,7,1231.21482462,665.06193736,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run near exterior spiral; stopped near interior spiral occlusion,2026-08-03T07:29:04Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S04,0,1257.52305606,709.17738672,2,printed curve labelled y=0 (x-axis),solid front-side run near central node; stopped near interior spiral occlusion,2026-08-03T07:31:20Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S04,1,1259.54748607,713.296054662,2,printed curve labelled y=0 (x-axis),solid front-side run near central node; stopped near interior spiral occlusion,2026-08-03T07:31:20Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S04,2,1261.641724,716.646835361,2,printed curve labelled y=0 (x-axis),solid front-side run near central node; stopped near interior spiral occlusion,2026-08-03T07:31:20Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S04,3,1264.15480953,720.346655715,2,printed curve labelled y=0 (x-axis),solid front-side run near central node; stopped near interior spiral occlusion,2026-08-03T07:31:20Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S04,4,1266.52827919,724.255899864,2,printed curve labelled y=0 (x-axis),solid front-side run near central node; stopped near interior spiral occlusion,2026-08-03T07:31:20Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S04,5,1268.55270919,728.374567806,2,printed curve labelled y=0 (x-axis),solid front-side run near central node; stopped near interior spiral occlusion,2026-08-03T07:31:20Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S04,6,1269.66963609,730.049958155,2,printed curve labelled y=0 (x-axis),solid front-side run near central node; stopped near interior spiral occlusion,2026-08-03T07:31:20Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S04,7,1271.41483437,733.330930922,2,printed curve labelled y=0 (x-axis),solid front-side run near central node; stopped near interior spiral occlusion,2026-08-03T07:31:20Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S05,0,1280.38635336,749.12107048,2,printed curve labelled y=0 (x-axis),solid front-side run started near interior spiral; stopped near curve between UCLL and UCLR nodes,2026-08-03T07:33:46Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S05,1,1282.79690848,753.091396568,2,printed curve labelled y=0 (x-axis),solid front-side run started near interior spiral; stopped near curve between UCLL and UCLR nodes,2026-08-03T07:33:46Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S05,2,1285.34926097,756.778127936,2,printed curve labelled y=0 (x-axis),solid front-side run started near interior spiral; stopped near curve between UCLL and UCLR nodes,2026-08-03T07:33:46Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S05,3,1287.05082929,760.323061943,2,printed curve labelled y=0 (x-axis),solid front-side run started near interior spiral; stopped near curve between UCLL and UCLR nodes,2026-08-03T07:33:46Z
