axis,pass_number,bin_index,bin_left,bin_right,is_last_bin,sample_count,weight_total,signed_mean_deg,rms_deg,p95_abs_deg,chord_rms_px
rho,2,5,0.25,0.3,False,625,213.213028269865,-15.0330698084095,39.385115043347,65.6497217962209,61.9326714124798
rho,2,6,0.3,0.35,False,105,34.775248470962,-59.0737446977968,59.1620386319886,63.7836659139915,108.883450979647
rho,2,7,0.35,0.4,False,84,27.8201987767696,-47.7396225167236,47.8489178450792,52.4145698510919,103.16182748713
rho,2,8,0.4,0.45,False,74,24.5082703509637,-36.4185011155951,36.5273378261413,41.0867300335246,90.6869117933867
rho,2,9,0.45,0.5,False,40,9.69951238656888,-29.6717608374498,29.72498399957,31.4723769072528,80.8741276157734
rho,2,10,0.5,0.55,False,369,21.4958292318068,-19.9614957198924,20.0911812777177,23.5410734410132,62.2495602737925
rho,2,11,0.55,0.6,False,49,13.2536098713535,-12.1038875116699,12.2026034963266,15.9753908401696,42.0944823606258
rho,2,12,0.6,0.65,False,52,21.0544161635506,-6.73440853737322,6.94994864205154,9.52806685445379,25.6169473320887
rho,2,13,0.65,0.7,False,51,20.6495235450208,-0.923371423755166,1.78452947578966,3.48412842954294,7.04555279112628
rho,2,14,0.7,0.75,False,51,20.6495235450208,4.01804310069186,4.24204088196584,6.0695995511498,18.5675115594629
rho,2,15,0.75,0.8,False,51,20.6495235450208,8.46448964833039,8.56240321783003,10.488048795233,39.7564192717054
rho,2,16,0.8,0.85,False,50,20.244630926491,12.7816367911318,12.8420939965244,14.6969996890776,63.2761091088302
rho,2,17,0.85,0.9,False,51,20.6495235450208,16.7870899500255,16.8265682190164,18.5288171514123,87.7191430499375
rho,2,18,0.9,0.95,False,47,19.0299530709015,20.6936465346248,20.7267056146693,22.4969845896238,113.949729526681
rho,2,19,0.95,1,True,18,7.28806713353676,23.4668581478786,23.4711183016063,24.2000370186245,133.445391832599
F_rho,1,0,0.0321182403716314,0.326849290421732,False,239,96.7031084585857,12.5195586645739,13.6258662862668,20.610780077484,72.4513783660796
F_rho,1,1,0.326849290421732,0.621580340471833,False,162,65.5477136832254,-5.65942279811858,7.53634178268463,13.5846797374271,26.981286108517
F_rho,1,2,0.621580340471833,0.916311390521934,False,435,33.7848353318417,-25.0195265618772,25.6054913157507,33.7390789030008,73.4175805157234
F_rho,1,3,0.916311390521934,1.21104244057204,False,126,42.0173874697226,-42.4122666503331,42.6808236127678,49.9889108403271,98.1427956800721
F_rho,1,4,1.21104244057204,1.50577349062214,False,121,40.3500308240987,-58.219553588977,58.3371492117684,62.9154660937412,108.631061648435
F_rho,1,5,1.50577349062214,1.80050454067224,False,581,199.948854631782,-19.6561559863164,39.4847788511858,64.6419987821235,62.5035730065215
F_rho,1,6,1.80050454067224,2.09523559072234,False,202,59.008348121795,44.467804536164,44.578892951963,49.4854698845713,62.5704063835727
F_rho,1,7,2.09523559072234,2.38996664077244,False,199,53.4850183068786,59.3485646464908,59.5941456454,65.8183689173183,72.9308586566606
F_rho,1,8,2.38996664077244,2.68469769082254,False,135,28.9805937890343,64.4502937915273,64.4645893418948,66.0719228547873,69.8314315433548
F_rho,1,9,2.68469769082254,2.97942874087264,False,131,28.1219095286185,55.4890887671384,55.5187268806477,59.0297786528612,54.0945502927425
F_rho,1,10,2.97942874087264,3.27415979092274,False,75,16.1003298827969,54.9234102538044,54.9727846044008,57.7613053128365,49.9301813678516
F_rho,1,11,3.27415979092274,3.56889084097284,False,214,8.67657754489172,30.3542961247711,30.3581698315558,31.2908060821286,24.9173514970004
F_rho,1,12,3.56889084097284,3.86362189102294,False,187,7.58186916305959,31.2859399142975,31.3055579579438,32.7246975922224,25.0882003015379
F_rho,1,13,3.86362189102294,4.15835294107304,False,38,3.71677898609694,-3.78911128428797,4.05174875964222,6.42979019150242,2.88851388134945
F_rho,1,14,4.15835294107304,4.45308399112315,False,98,9.58537738519737,-14.7651530911582,15.4257914980562,22.0961597399348,10.4104609474913
F_rho,1,15,4.45308399112315,4.74781504117325,False,103,10.0744272517891,-31.8915183853716,32.1587315330137,37.2306275680001,20.1919716338536
F_rho,1,16,4.74781504117325,5.04254609122335,False,172,17.0760554599363,-37.7060742609486,37.8640259652731,41.6137269079799,22.4645844351297
F_rho,1,17,5.04254609122335,5.33727714127345,False,47,5.78494697711621,-40.0542851353712,40.4729454250873,49.5061324999467,22.4647220609212
F_rho,1,18,5.33727714127345,5.63200819132355,False,492,34.5381649219437,9.99692792696111,44.1556374997167,61.763225391087,22.8670464048785
F_rho,1,19,5.63200819132355,5.92673924137365,True,253,31.1402464938383,-49.3621370281652,52.8565672824282,65.5494815165011,25.748803488448
F_rho,2,0,0.0321182403716314,0.326849290421732,False,242,97.9840136842164,14.2670080111682,15.3774658378673,23.1635480061785,81.7554882245622
F_rho,2,1,0.326849290421732,0.621580340471833,False,159,64.3779263462414,-4.24843547943412,6.66938507452227,12.6598115749178,23.9536730353653
F_rho,2,2,0.621580340471833,0.916311390521934,False,443,37.2700655725434,-24.0560944389183,24.7404277239933,32.8531338059987,70.649730582552
F_rho,2,3,0.916311390521934,1.21104244057204,False,125,41.3991053225739,-42.253532934877,42.5766817615998,50.3875342851588,97.5774889810493
F_rho,2,4,1.21104244057204,1.50577349062214,False,119,39.4119482670903,-57.8186069977668,57.9444930347328,63.3149768102071,108.462903208006
F_rho,2,5,1.50577349062214,1.80050454067224,False,550,191.782320814218,-21.6203060710552,39.805911528477,65.7240814364828,63.0247042311678
F_rho,2,6,1.80050454067224,2.09523559072234,False,238,68.5544805136775,42.4440444648842,42.6404881694018,49.0132146458117,60.036429451942
F_rho,2,7,2.09523559072234,2.38996664077244,False,179,48.1055749233999,56.7368519323337,56.8591481993642,61.6063775375303,69.917036450368
F_rho,2,8,2.38996664077244,2.68469769082254,False,158,34.5953460159458,63.1113866619163,63.1230031362573,64.8260102995848,68.8361629054125
F_rho,2,9,2.68469769082254,2.97942874087264,False,96,21.0199570729797,53.2723070483634,53.3484953684727,58.6522974965079,52.6624404543783
F_rho,2,10,2.97942874087264,3.27415979092274,False,97,21.2389149591566,48.0506793981173,48.0716567215759,49.5420429527128,43.9774994855147
F_rho,2,11,3.27415979092274,3.56889084097284,False,143,5.85289701965942,24.7395663616091,24.7636447529494,26.6901434907416,20.4686771113634
F_rho,2,12,3.56889084097284,3.86362189102294,False,258,10.5597722452596,20.7289810493165,20.7455459965487,22.0290166890558,16.5840453314872
F_rho,2,13,3.86362189102294,4.15835294107304,False,97,10.0987140650258,-0.0291317030588167,4.4040629334081,8.0694915461761,3.23685044749398
F_rho,2,14,4.15835294107304,4.45308399112315,False,82,8.53705725084651,-15.7933552903666,16.7054135855022,23.8567545050714,11.2471241913329
F_rho,2,15,4.45308399112315,4.74781504117325,False,106,11.0357081535333,-34.2778149705862,34.5319170045001,38.9660277867033,21.6164383963853
F_rho,2,16,4.74781504117325,5.04254609122335,False,136,14.5357658139935,-37.4889996963194,37.5807320902808,40.3362198855736,22.4304635590755
