pass_number,segment_id,weighting,segment_length_px,rho_min,rho_max,count_rho_le_zero,count_rho_ge_one,angular_median_abs_deg,angular_rms_deg,angular_p95_abs_deg,angular_max_abs_deg,chord_median_px,chord_rms_px,chord_p95_px,chord_max_px
1,S10,equal_segment,162.250822141811,0.569176789769766,0.963139650284103,0,0,9.68566906092814,11.319250081969,19.3424175385137,20.8788991732444,40.3004831043999,56.7554342762828,108.255152625264,119.33721965293
2,S01,length,24.026337630406,0.088481881666069,0.0912449105753321,0,0,21.5498945392385,29.2961635697305,52.9403406375917,58.9611652733834,11.3655409920164,15.3623596391798,27.6256995867836,30.7060899871177
2,S02,length,49.3020100093645,0.0863638599265299,0.0997786540004887,0,0,42.3732195860273,43.0028082869057,56.3732045954328,57.3545155851892,23.2046170372845,22.4261452602187,28.0453713618534,28.6519796133657
2,S03,length,41.7482921657252,0.100901937831346,0.126837268451492,0,0,30.4438209393838,28.4120217983027,39.5462967669428,40.538771601044,19.5634769969156,17.5002064217561,23.9097831619638,24.2884826897178
2,S04,length,16.4126692649191,0.131882980270589,0.141635215534393,0,0,21.5900007398345,22.2617891438891,25.9724620647414,27.0914266913114,17.4632816208826,18.0654206391212,21.6457585604117,22.684778385029
2,S05,length,87.8021123569258,0.151287756619029,0.20668262901714,0,0,59.3657220597898,57.0833408324795,64.61097963311,65.0403763352066,63.8273818468751,60.0222422928332,70.5007600434009,70.9084421513133
2,S06,length,115.505658344473,0.211781330650252,0.263551532548445,0,0,44.8537012782104,46.6441829931804,60.296238601153,61.806962207733,61.5696131323599,62.6995098379355,73.6486741301527,75.1604919945897
2,S07,length,143.901646701211,0.264719069898352,0.273582806784984,0,0,21.7543859842838,30.2758649790624,55.2352750962412,58.4194034060271,34.9328116365104,47.0986515955289,84.9371070915135,89.9724971310457
2,S08,length,132.808329874817,0.271572570595098,0.46739667613138,0,0,54.9294158185155,53.6507231595136,65.8580025126032,66.0488759469139,104.521798646941,101.61642443524,109.5308593799,109.789164362452
2,S09,length,23.3599661841586,0.49830705809835,0.552410935068879,0,0,19.9193609714167,20.0625676996573,23.8118756995252,24.3056902080249,62.1237747408056,62.1426445914589,70.6909971934124,71.7345396798989
2,S10,length,162.361940030458,0.571707349911423,0.968397417359206,0,0,10.1390610574574,12.6626390114276,22.4969845896238,24.2000370186245,41.3620682557422,65.2780177227062,126.316436593851,138.810176210175
2,S01,equal_segment,24.026337630406,0.088481881666069,0.0912449105753321,0,0,20.6192952737714,28.5021566725758,52.0193624808343,58.0434817576517,10.8801676164467,14.9579107335181,27.1789093786679,30.2701330450952
2,S02,equal_segment,49.3020100093645,0.0863638599265299,0.0997786540004887,0,0,43.2980918390773,43.8786650684768,57.3186003321327,58.2942770756082,23.6660532135929,22.8614010221816,28.4738496333935,29.0806046533373
2,S03,equal_segment,41.7482921657252,0.100901937831346,0.126837268451492,0,0,31.2815805054467,29.118412252562,40.4100965265303,41.4023987547212,20.0885754761045,17.9280485890902,24.4077067898878,24.7834553482757
2,S04,equal_segment,16.4126692649191,0.131882980270589,0.141635215534393,0,0,20.8353118783528,21.5111750800735,25.228405067698,26.3491205639724,16.8597100361552,17.4661756836975,21.0358557055638,22.0743666684681
2,S05,equal_segment,87.8021123569258,0.151287756619029,0.20668262901714,0,0,58.6917973816626,56.4146264327696,63.9542202204748,64.3813948172643,63.1997225985571,59.3935739952763,69.8593698053483,70.2634791010467
2,S06,equal_segment,115.505658344473,0.211781330650252,0.263551532548445,0,0,44.2408115081945,46.0388843183021,59.6636137744104,61.1738951542514,60.7844882125413,61.9134697737096,72.9475035298,74.4656486632759
2,S07,equal_segment,143.901646701211,0.264719069898352,0.273582806784984,0,0,21.5789034472052,30.549375404042,55.824180669481,59.0072076510303,34.7185585874609,47.4891187943295,85.7703156424838,90.7967731248775
2,S08,equal_segment,132.808329874817,0.271572570595098,0.46739667613138,0,0,55.4792812134045,54.1913193419244,66.4357649918215,66.6284007693013,105.450933984257,102.626035194102,110.450985328694,110.734737173989
2,S09,equal_segment,23.3599661841586,0.49830705809835,0.552410935068879,0,0,20.4156526220572,20.5556069924288,24.3133214833309,24.8077544932366,63.6553821635455,63.6642342309042,72.1574835126607,73.1933244902547
2,S10,equal_segment,162.361940030458,0.571707349911423,0.968397417359206,0,0,10.0326732500043,12.4289101291266,22.057064608139,23.7621044128934,41.4510925628491,63.8703613748203,123.877258172487,136.334664770984
