log10_k_x,k_x,r_x,plus_frozen_yaxis_normal_residual_deg,minus_frozen_yaxis_normal_residual_deg
0.135000000000,1.364583136588925,0.7328245331389037,21.212258597248,77.983263115406
0.140000000000,1.380384264602885,0.7244359600749899,21.280436110026,77.690584604184
0.145000000000,1.396368361055938,0.716143410212902,21.352542295563,77.399003220589
0.150000000000,1.412537544622754,0.7079457843841381,21.428482055755,77.108550618251
0.155000000000,1.428893958511104,0.6998419960022731,21.508158064306,76.819257787784
0.160000000000,1.445439770745928,0.6918309709189363,21.591471043349,76.531155044728
0.165000000000,1.462177174456718,0.6839116472814293,21.678320035385,76.244272018377
0.170000000000,1.479108388168207,0.6760829753919818,21.768602669280,75.958637641493
0.175000000000,1.496235656094434,0.6683439175686142,21.862215419186,75.674280140902
0.180000000000,1.513561248436209,0.6606934480075958,21.959053855382,75.391227028970
0.185000000000,1.53108746168203,0.6531305526474723,22.059012886152,75.109505095961
0.190000000000,1.548816618912481,0.6456542290346555,22.161986989980,74.829140403261
0.195000000000,1.56675107010815,0.6382634861905483,22.267870437445,74.550158277466
0.200000000000,1.584893192461114,0.630957344480193,22.376557502330,74.272583305320
0.205000000000,1.603245390690042,0.6237348354824191,22.487942661579,73.996439329503
0.210000000000,1.62181009735893,0.6165950018614822,22.601920783861,73.721749445235
0.215000000000,1.640589773199539,0.6095368972401694,22.718387306565,73.448535997710
0.220000000000,1.659586907437561,0.6025595860743574,22.837238401193,73.176820580316
0.225000000000,1.678804018122561,0.5956621435290103,22.958371127164,72.906624033646
0.230000000000,1.698243652461744,0.5888436553555889,23.081683574150,72.637966445275
0.235000000000,1.717908387157588,0.5821032177708716,23.207074993106,72.370867150280
0.240000000000,1.737800828749376,0.5754399373371567,23.334445916247,72.105344732487
0.245000000000,1.757923613958693,0.5688529308438413,23.463698266244,71.841417026433
0.250000000000,1.778279410038923,0.5623413251903491,23.594735454980,71.579101119998
0.255000000000,1.798870915128787,0.5559042572704037,23.727462472233,71.318413357716
0.260000000000,1.819700858609984,0.5495408738576243,23.861785964686,71.059369344718
0.265000000000,1.840772001468956,0.5432503314924331,23.997614305673,70.801983951294
0.270000000000,1.862087136662868,0.5370317963702527,24.134857656112,70.546271318046
0.275000000000,1.8836490894898,0.5308844442309885,24.273428017059,70.292244861617
0.280000000000,1.905460717963248,0.5248074602497723,24.413239274349,70.039917280961
0.285000000000,1.927524913190937,0.518800038928961,24.554207235774,69.789300564133
0.290000000000,1.949844599758046,0.5128613839913648,24.696249661241,69.540405995575
0.295000000000,1.972422736114853,0.5069907082747045,24.839286286389,69.293244163875
0.300000000000,1.995262314968881,0.501187233627272,24.983238840064,69.047824969973
0.305000000000,2.018366363681562,0.4954501908047901,25.128031056121,68.804157635780
0.310000000000,2.04173794466953,0.4897788193684461,25.273588679948,68.562250713207
0.315000000000,2.065380155810529,0.4841723675840994,25.419839470117,68.322112093552
0.320000000000,2.089296130854041,0.478630092322638,25.566713195567,68.083749017244
0.325000000000,2.113489039836648,0.4731512589614802,25.714141628667,67.847168083907
0.330000000000,2.137962089502233,0.4677351412871981,25.862058534539,67.612375262722
0.335000000000,2.16271852372702,0.4623810213992604,26.010399656963,67.379375903066
