crop_id,crop_file_sha256,crop_pixel_sha256,landmark_id,pass_number,operator,segment_id,sequence_index,x_px,y_px,local_stroke_width_px,source_feature,operator_note,timestamp_utc
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,1,Salah-Eddin Gherbi,S03,5,1224.16752853,652.834903686,2,printed curve labelled y=0 (x-axis),last dashed back-hemisphere run; segment between two spiral curves,2026-07-31T20:07:04Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,1,Salah-Eddin Gherbi,S03,6,1228.9668238,661.779044874,2,printed curve labelled y=0 (x-axis),last dashed back-hemisphere run; segment between two spiral curves,2026-07-31T20:07:04Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,1,Salah-Eddin Gherbi,S03,7,1231.14832165,664.069617617,2,printed curve labelled y=0 (x-axis),last dashed back-hemisphere run; segment between two spiral curves,2026-07-31T20:07:04Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,1,Salah-Eddin Gherbi,S04,0,1257.6256519,710.473654558,2,printed curve labelled y=0 (x-axis),solid front-side run started near the central node; stopped before spiral occlusion,2026-07-31T20:08:45Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,1,Salah-Eddin Gherbi,S04,1,1259.66753389,713.300875772,2,printed curve labelled y=0 (x-axis),solid front-side run started near the central node; stopped before spiral occlusion,2026-07-31T20:08:45Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,1,Salah-Eddin Gherbi,S04,2,1261.70941588,716.756368368,2,printed curve labelled y=0 (x-axis),solid front-side run started near the central node; stopped before spiral occlusion,2026-07-31T20:08:45Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,1,Salah-Eddin Gherbi,S04,3,1264.45810317,721.075734112,2,printed curve labelled y=0 (x-axis),solid front-side run started near the central node; stopped before spiral occlusion,2026-07-31T20:08:45Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,1,Salah-Eddin Gherbi,S04,4,1266.49998516,725.944837315,2,printed curve labelled y=0 (x-axis),solid front-side run started near the central node; stopped before spiral occlusion,2026-07-31T20:08:45Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,1,Salah-Eddin Gherbi,S04,5,1269.32720637,730.342736982,2,printed curve labelled y=0 (x-axis),solid front-side run started near the central node; stopped before spiral occlusion,2026-07-31T20:08:45Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,1,Salah-Eddin Gherbi,S04,6,1271.29055444,733.012890351,2,printed curve labelled y=0 (x-axis),solid front-side run started near the central node; stopped before spiral occlusion,2026-07-31T20:08:45Z
