crop_id,crop_file_sha256,crop_pixel_sha256,landmark_id,pass_number,operator,sequence_index,x_px,y_px,local_stroke_width_px,object_type,fit_partition,source_feature,operator_note,timestamp_utc
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-EQUATOR-HORIZON-LIMB,2,Salah-Eddin Gherbi,24,1570.49475559,560.791331882,9,closed_contour,calibration,outer circular limb explicitly labelled 'Equator Great Circle (at horizon)',,2026-07-31T15:46:35Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-EQUATOR-HORIZON-LIMB,2,Salah-Eddin Gherbi,25,1580.51652484,600.878408866,9,closed_contour,calibration,outer circular limb explicitly labelled 'Equator Great Circle (at horizon)',,2026-07-31T15:46:35Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-EQUATOR-HORIZON-LIMB,2,Salah-Eddin Gherbi,26,1590.53829408,644.306075599,9,closed_contour,calibration,outer circular limb explicitly labelled 'Equator Great Circle (at horizon)',,2026-07-31T15:46:35Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-EQUATOR-HORIZON-LIMB,2,Salah-Eddin Gherbi,27,1592.20858896,732.831703938,9,closed_contour,calibration,outer circular limb explicitly labelled 'Equator Great Circle (at horizon)',,2026-07-31T15:46:35Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-EQUATOR-HORIZON-LIMB,2,Salah-Eddin Gherbi,28,1582.18681971,784.610845043,9,closed_contour,calibration,outer circular limb explicitly labelled 'Equator Great Circle (at horizon)',,2026-07-31T15:46:35Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-EQUATOR-HORIZON-LIMB,2,Salah-Eddin Gherbi,29,1565.48387097,829.70880665,9,closed_contour,calibration,outer circular limb explicitly labelled 'Equator Great Circle (at horizon)',,2026-07-31T15:46:35Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-EQUATOR-HORIZON-LIMB,2,Salah-Eddin Gherbi,30,1535.41856323,888.169127251,9,closed_contour,calibration,outer circular limb explicitly labelled 'Equator Great Circle (at horizon)',,2026-07-31T15:46:35Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-EQUATOR-HORIZON-LIMB,2,Salah-Eddin Gherbi,31,1503.68296062,926.585909361,9,closed_contour,calibration,outer circular limb explicitly labelled 'Equator Great Circle (at horizon)',,2026-07-31T15:46:35Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-EQUATOR-HORIZON-LIMB,2,Salah-Eddin Gherbi,32,1461.92558876,966.672986345,9,closed_contour,calibration,outer circular limb explicitly labelled 'Equator Great Circle (at horizon)',,2026-07-31T15:46:35Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-EQUATOR-HORIZON-LIMB,2,Salah-Eddin Gherbi,33,1385.09202454,1011.77094795,9,closed_contour,calibration,outer circular limb explicitly labelled 'Equator Great Circle (at horizon)',,2026-07-31T15:46:35Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-EQUATOR-HORIZON-LIMB,2,Salah-Eddin Gherbi,34,1348.3455373,1025.13330695,9,closed_contour,calibration,outer circular limb explicitly labelled 'Equator Great Circle (at horizon)',,2026-07-31T15:46:35Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-EQUATOR-HORIZON-LIMB,2,Salah-Eddin Gherbi,35,1306.58816545,1035.15507619,9,closed_contour,calibration,outer circular limb explicitly labelled 'Equator Great Circle (at horizon)',,2026-07-31T15:46:35Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-EQUATOR-HORIZON-LIMB,2,Salah-Eddin Gherbi,36,1253.13872947,1040.16596082,9,closed_contour,calibration,outer circular limb explicitly labelled 'Equator Great Circle (at horizon)',,2026-07-31T15:46:35Z
